"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"10","1006.9","1009.4","1009.6","2025/11/10 08:16:00","1003.3","2025/11/10 23:56:00","22.7","24.0","2025/11/10 00:41:00","21.8","2025/11/10 06:03:00","20.9","89","79","2025/11/10 02:24:00","12.6","60","24.7","60","2025/11/10 14:24:00","7.5","10.8","1.0","2025/11/10 04:10:00","4.0","2025/11/10 04:10:00","0.0","0.0","4.97","15.0","-2.5","2","2025/11/10 11:00:00","10.0","10.0","22.6","23.3","24.1","24.3","25.0","25.0","25.4"
"11","1004.4","1006.9","1005.8","2025/11/11 19:49:00","1001.3","2025/11/11 02:23:00","22.4","24.0","2025/11/11 03:36:00","20.9","2025/11/11 14:52:00","21.3","94","86","2025/11/11 00:24:00","11.3","50","25.2","50","2025/11/11 09:46:00","11.5","20.2","2.0","2025/11/11 12:02:00","3.5","2025/11/11 12:02:00","0.0","0.0","2.12","7.5","-1.1","1","2025/11/11 13:00:00","10.0","10.0","22.6","23.0","23.6","23.7","24.5","24.7","25.5"
"12","1003.5","1006.0","1005.1","2025/11/12 00:03:00","1001.7","2025/11/12 03:50:00","22.4","23.3","2025/11/12 10:12:00","21.4","2025/11/12 23:45:00","21.5","95","91","2025/11/12 15:36:00","11.7","40","24.4","60","2025/11/12 03:22:00","12.0","16.0","1.0","2025/11/12 10:47:00","3.0","2025/11/12 22:06:00","0.0","0.0","1.64","8.5","-1.0","1","2025/11/12 14:00:00","10.0","10.0","22.3","22.6","23.2","23.3","24.0","24.4","25.2"
"13","1010.2","1012.7","1013.9","2025/11/13 22:23:00","1003.9","2025/11/13 00:03:00","21.5","23.3","2025/11/13 13:28:00","20.5","2025/11/13 18:02:00","20.0","91","77","2025/11/13 23:39:00","8.5","40","20.5","30","2025/11/13 01:58:00","20.5","17.1","1.0","2025/11/13 00:58:00","4.0","2025/11/13 04:53:00","0.0","0.0","7.30","9.5","-1.9","4","2025/11/13 12:00:00","10.0","10.0","21.9","22.3","23.0","23.1","23.8","23.9","24.5"
"14","1015.2","1017.7","1017.0","2025/11/14 21:23:00","1013.3","2025/11/14 00:09:00","22.2","24.5","2025/11/14 11:26:00","20.5","2025/11/14 04:04:00","16.4","70","61","2025/11/14 11:29:00","9.4","50","18.7","50","2025/11/14 12:59:00","0.0","0.0","0.0","--","0.0","--","8.6","79.3","16.51","16.0","4.8","6","2025/11/14 12:00:00","5.5","4.6","20.7","21.3","22.2","22.4","23.3","23.6","24.2"
"15","1017.0","1019.5","1018.4","2025/11/15 21:29:00","1015.6","2025/11/15 14:40:00","22.9","25.3","2025/11/15 10:12:00","20.9","2025/11/15 06:10:00","17.2","71","62","2025/11/15 09:32:00","7.8","60","18.2","50","2025/11/15 11:41:00","0.0","0.0","0.0","--","0.0","--","8.9","82.2","17.39","25.0","4.7","6","2025/11/15 12:00:00","4.3","2.8","21.2","21.3","22.2","22.2","23.0","23.5","24.1"
"16","1017.2","1019.7","1019.1","2025/11/16 08:24:00","1015.2","2025/11/16 15:01:00","23.9","27.0","2025/11/16 12:32:00","22.2","2025/11/16 00:01:00","20.8","83","71","2025/11/16 12:37:00","7.0","40","16.2","60","2025/11/16 23:33:00","0.0","0.0","0.0","--","0.0","--","10.2","94.3","17.50","17.0","3.5","6","2025/11/16 12:00:00","2.5","1.4","22.5","22.3","22.9","22.7","23.1","23.4","24.1"
"17","1017.7","1020.2","1020.3","2025/11/17 21:21:00","1015.7","2025/11/17 01:34:00","22.2","24.6","2025/11/17 09:48:00","19.0","2025/11/17 23:50:00","20.5","91","81","2025/11/17 09:55:00","8.5","50","19.6","40","2025/11/17 23:26:00","8.5","8.7","1.0","2025/11/17 21:43:00","3.5","2025/11/17 22:05:00","1.9","17.6","7.87","9.8","0.0","3","2025/11/17 10:00:00","8.8","7.3","22.2","22.6","23.2","23.2","23.5","23.7","24.3"
"18","1021.8","1024.4","1023.4","2025/11/18 09:04:00","1019.9","2025/11/18 00:03:00","17.6","19.4","2025/11/18 09:49:00","16.1","2025/11/18 18:42:00","15.4","87","78","2025/11/18 09:59:00","10.4","50","22.3","50","2025/11/18 01:12:00","12.0","17.9","0.5","2025/11/18 00:33:00","2.5","2025/11/18 05:14:00","0.0","0.0","2.44","9.5","-0.9","2","2025/11/18 10:00:00","10.0","10.0","19.0","20.1","21.1","21.5","22.9","23.2","23.7"
"19","1022.5","1025.1","1024.7","2025/11/19 09:32:00","1021.2","2025/11/19 14:49:00","15.8","16.9","2025/11/19 23:21:00","15.1","2025/11/19 04:58:00","10.8","73","58","2025/11/19 21:17:00","9.6","50","19.3","40","2025/11/19 02:54:00","0.5","8.0","0.5","2025/11/19 00:50:00","0.5","2025/11/19 00:50:00","0.0","0.0","0.83","13.0","-2.0","0","2025/11/19 12:00:00","10.0","10.0","16.4","17.7","18.8","19.4","21.4","22.2","23.1"
"20","1020.5","1023.1","1022.8","2025/11/20 09:10:00","1018.9","2025/11/20 14:47:00","18.8","20.7","2025/11/20 12:56:00","16.8","2025/11/20 00:09:00","12.6","67","59","2025/11/20 00:28:00","9.0","60","17.5","50","2025/11/20 02:50:00","0.0","0.0","0.0","--","0.0","--","2.9","27.0","12.57","22.5","4.5","5","2025/11/20 12:00:00","8.3","9.0","17.3","17.8","18.7","19.0","20.4","21.5","22.7"
"21","1019.9","1022.5","1021.3","2025/11/21 09:00:00","1018.4","2025/11/21 14:39:00","20.4","21.7","2025/11/21 11:11:00","19.6","2025/11/21 04:03:00","14.7","70","65","2025/11/21 01:33:00","9.2","60","18.1","60","2025/11/21 11:52:00","0.0","0.0","0.0","--","0.0","--","0.5","4.7","6.99","25.0","3.8","3","2025/11/21 12:00:00","8.8","8.8","18.5","18.9","19.6","19.7","20.6","21.5","22.7"
"22","1018.3","1020.9","1020.2","2025/11/22 08:29:00","1016.7","2025/11/22 23:15:00","21.2","23.9","2025/11/22 12:30:00","19.4","2025/11/22 05:27:00","15.3","69","57","2025/11/22 11:10:00","8.3","50","17.4","50","2025/11/22 01:50:00","0.0","0.0","0.0","--","0.0","--","9.9","92.3","16.74","27.5","3.9","5","2025/11/22 12:00:00","3.0","3.5","19.2","19.2","19.9","19.9","20.7","21.4","22.7"
"23","1016.1","1018.6","1018.1","2025/11/23 07:38:00","1014.7","2025/11/23 23:02:00","22.2","24.5","2025/11/23 11:32:00","20.9","2025/11/23 00:06:00","19.3","84","75","2025/11/23 10:48:00","6.5","40","14.4","30","2025/11/23 14:36:00","0.0","0.0","0.0","--","0.0","--","9.4","87.7","16.33","20.0","4.2","5","2025/11/23 12:00:00","1.3","--","20.8","20.5","21.0","20.9","21.2","21.5","22.7"
"24","1014.9","1017.4","1016.5","2025/11/24 23:31:00","1013.2","2025/11/24 13:39:00","21.7","25.1","2025/11/24 10:35:00","17.5","2025/11/24 06:46:00","19.2","86","68","2025/11/24 11:15:00","4.2","40","13.1","40","2025/11/24 22:24:00","0.0","0.0","0.0","--","0.0","--","9.1","85.0","15.78","16.0","5.0","4","2025/11/24 12:00:00","1.8","--","21.2","21.1","21.6","21.4","21.7","21.8","22.8"
"25","1017.7","1020.3","1019.1","2025/11/25 09:31:00","1016.5","2025/11/25 00:01:00","20.1","22.2","2025/11/25 11:53:00","17.6","2025/11/25 23:04:00","11.4","58","47","2025/11/25 09:15:00","8.9","60","19.5","50","2025/11/25 14:57:00","0.0","0.0","0.0","--","0.0","--","4.1","38.4","12.33","18.0","5.8","4","2025/11/25 12:00:00","7.5","--","19.2","20.1","21.0","21.2","21.9","22.1","23.0"
"26","1016.5","1019.1","1018.1","2025/11/26 00:01:00","1014.3","2025/11/26 14:59:00","19.4","22.4","2025/11/26 11:49:00","17.0","2025/11/26 05:10:00","11.0","58","46","2025/11/26 12:25:00","9.4","60","20.0","70","2025/11/26 14:15:00","0.0","0.0","0.0","--","0.0","--","8.6","80.6","15.55","28.8","5.3","5","2025/11/26 12:00:00","7.8","--","18.0","18.5","19.4","19.7","21.0","21.7","23.1"
"27","1017.8","1020.4","1019.7","2025/11/27 07:25:00","1016.4","2025/11/27 01:07:00","19.9","22.3","2025/11/27 11:40:00","18.5","2025/11/27 22:52:00","12.4","62","47","2025/11/27 12:42:00","9.2","50","18.5","60","2025/11/27 23:51:00","0.0","0.0","0.0","--","0.0","--","3.6","33.8","12.61","24.0","6.6","5","2025/11/27 12:00:00","9.0","--","18.6","19.0","19.7","19.9","20.8","21.4","23.0"
"28","1015.2","1017.8","1017.0","2025/11/28 00:03:00","1013.4","2025/11/28 13:59:00","18.9","20.7","2025/11/28 14:04:00","17.6","2025/11/28 06:59:00","10.8","59","52","2025/11/28 09:31:00","8.3","60","18.9","60","2025/11/28 00:43:00","0.0","0.0","0.0","--","0.0","--","6.4","60.1","13.60","14.0","3.3","4","2025/11/28 12:00:00","8.8","--","17.9","18.3","19.3","19.5","20.6","21.2","23.0"
"29","1013.3","1015.8","1014.8","2025/11/29 08:34:00","1011.5","2025/11/29 14:48:00","19.7","24.0","2025/11/29 12:15:00","15.5","2025/11/29 05:55:00","16.0","80","66","2025/11/29 00:11:00","3.5","40","11.7","40","2025/11/29 14:29:00","0.0","0.0","0.0","--","0.0","--","9.8","92.1","16.71","16.0","3.2","5","2025/11/29 12:00:00","1.5","--","19.3","19.2","19.8","19.8","20.5","21.0","22.9"
"30","1012.8","1015.3","1013.9","2025/11/30 08:53:00","1011.3","2025/11/30 12:36:00","19.2","23.7","2025/11/30 09:58:00","15.2","2025/11/30 05:57:00","17.3","89","64","2025/11/30 09:46:00","1.6","170","5.8","310","2025/11/30 11:22:00","1.0","3.3","0.5","2025/11/30 15:48:00","0.5","2025/11/30 15:08:00","5.3","49.8","11.25","20.3","-1.7","4","2025/11/30 12:00:00","7.3","9.0","19.4","19.4","20.0","20.0","20.8","21.1","22.8"
