"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度_自動(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"10","1018.5","1021.2","1021.7","2026/01/10 23:27:00","1015.8","2026/01/10 13:46:00","14.4","19.4","2026/01/10 12:34:00","7.6","2026/01/10 05:46:00","9.1","72","55","2026/01/10 13:23:00","4.9","47","14.9","33","2026/01/10 11:37:00","0.0","0.0","0.0","--","0.0","--","6.9","64.8","14.76","43.8","-3.2","5","2026/01/10 13:00:00","5.6","14.3","14.4","15.0","15.1","16.2","16.9","19.1"
"11","1022.0","1024.6","1023.1","2026/01/11 08:02:00","1020.5","2026/01/11 13:22:00","15.1","17.4","2026/01/11 10:53:00","13.0","2026/01/11 20:54:00","6.3","56","47","2026/01/11 12:44:00","8.9","53","23.3","44","2026/01/11 12:12:00","0.0","0.0","0.0","--","0.0","--","9.2","86.3","15.72","41.3","-5.3","5","2026/01/11 13:00:00","3.6","14.5","14.9","15.6","15.7","16.6","17.0","19.0"
"12","1018.3","1020.9","1020.9","2026/01/12 00:01:00","1016.2","2026/01/12 14:38:00","14.8","17.4","2026/01/12 09:56:00","12.6","2026/01/12 20:48:00","9.6","71","58","2026/01/12 01:25:00","3.1","63","15.8","61","2026/01/12 01:04:00","T","0.5","T","2026/01/12 08:23:00","T","2026/01/12 08:23:00","0.1","0.9","3.56","42.6","0.5","2","2026/01/12 10:00:00","9.5","14.7","14.9","15.5","15.6","16.5","17.0","18.9"
"13","1017.2","1019.8","1019.0","2026/01/13 10:06:00","1015.8","2026/01/13 15:00:00","15.3","19.5","2026/01/13 11:01:00","9.1","2026/01/13 07:01:00","10.2","73","43","2026/01/13 11:17:00","3.2","57","10.5","31","2026/01/13 16:07:00","0.0","0.0","0.0","--","0.0","--","9.8","91.7","15.90","32.8","2.7","5","2026/01/13 13:00:00","2.3","15.1","15.2","15.8","15.8","16.6","17.1","18.8"
"14","1015.1","1017.7","1017.1","2026/01/14 00:01:00","1012.4","2026/01/14 14:45:00","19.0","24.9","2026/01/14 14:12:00","14.8","2026/01/14 06:20:00","11.3","62","39","2026/01/14 16:17:00","3.9","54","10.6","51","2026/01/14 02:45:00","0.0","0.0","0.0","--","0.0","--","10.2","95.4","16.95","53.5","-2.4","5","2026/01/14 13:00:00","1.2","16.4","16.3","16.8","16.6","17.0","17.2","18.7"
"15","1014.2","1016.8","1016.6","2026/01/15 09:03:00","1012.2","2026/01/15 14:10:00","17.6","21.2","2026/01/15 14:19:00","14.3","2026/01/15 00:52:00","14.2","81","61","2026/01/15 23:45:00","2.8","55","7.3","32","2026/01/15 21:28:00","0.0","0.0","0.0","--","0.0","--","7.7","71.9","15.23","21.4","-2.3","5","2026/01/15 13:00:00","6.1","17.0","16.9","17.4","17.3","17.5","17.6","18.7"
"16","1012.5","1015.0","1014.1","2026/01/16 09:08:00","1010.6","2026/01/16 14:43:00","18.1","20.1","2026/01/16 13:38:00","17.1","2026/01/16 07:00:00","16.4","90","69","2026/01/16 00:01:00","4.4","41","9.2","18","2026/01/16 05:42:00","T","0.9","T","2026/01/16 03:16:00","T","2026/01/16 03:16:00","0.0","0.0","5.31","18.9","1.1","3","2026/01/16 13:00:00","9.7","17.7","17.6","18.1","18.0","18.1","17.9","18.7"
"17","1011.3","1013.9","1012.3","2026/01/17 00:01:00","1009.4","2026/01/17 13:57:00","18.2","20.8","2026/01/17 11:40:00","16.8","2026/01/17 18:02:00","15.5","85","72","2026/01/17 12:08:00","6.2","43","16.4","40","2026/01/17 16:01:00","0.0","0.0","0.0","--","0.0","--","2.4","22.4","12.06","22.9","2.9","5","2026/01/17 13:00:00","9.5","17.9","17.9","18.4","18.3","18.4","18.3","18.9"
"18","1011.6","1014.2","1013.0","2026/01/18 09:29:00","1009.7","2026/01/18 14:54:00","17.7","20.0","2026/01/18 11:07:00","16.7","2026/01/18 05:21:00","15.2","86","75","2026/01/18 13:45:00","7.0","43","15.3","43","2026/01/18 13:47:00","0.0","0.0","0.0","--","0.0","--","3.9","36.3","10.74","23.0","-2.4","4","2026/01/18 12:00:00","6.6","17.7","17.8","18.3","18.3","18.6","18.5","19.0"
"19","1013.1","1015.7","1014.4","2026/01/19 07:44:00","1011.2","2026/01/19 13:46:00","17.3","19.1","2026/01/19 12:06:00","16.3","2026/01/19 22:34:00","15.0","86","81","2026/01/19 11:40:00","8.8","48","19.9","56","2026/01/19 16:37:00","0.5","2.3","0.5","2026/01/19 22:29:00","0.5","2026/01/19 22:29:00","0.2","1.9","5.59","18.0","-1.3","3","2026/01/19 13:00:00","6.9","17.4","17.6","18.2","18.2","18.6","18.6","19.1"
"20","1017.5","1020.1","1020.3","2026/01/20 23:28:00","1013.9","2026/01/20 00:01:00","14.1","16.3","2026/01/20 00:01:00","12.3","2026/01/20 21:58:00","10.9","82","71","2026/01/20 15:00:00","10.2","50","20.1","41","2026/01/20 05:01:00","4.0","8.0","1.0","2026/01/20 03:56:00","2.5","2026/01/20 03:09:00","0.0","0.0","3.68","26.8","-1.6","2","2026/01/20 12:00:00","9.8","15.5","16.2","17.0","17.2","18.3","18.5","19.2"
"21","1021.4","1024.0","1023.0","2026/01/21 22:02:00","1019.6","2026/01/21 14:48:00","11.4","12.6","2026/01/21 00:01:00","10.3","2026/01/21 19:15:00","9.0","85","78","2026/01/21 02:21:00","9.5","47","20.3","46","2026/01/21 20:38:00","1.0","12.4","0.5","2026/01/21 18:20:00","0.5","2026/01/21 18:20:00","0.0","0.0","2.02","25.5","0.0","1","2026/01/21 12:00:00","10.0","13.8","14.6","15.5","15.8","17.4","18.0","19.2"
"22","1022.4","1025.1","1024.0","2026/01/22 08:53:00","1020.7","2026/01/22 15:24:00","11.6","12.4","2026/01/22 23:43:00","10.5","2026/01/22 01:35:00","10.0","90","80","2026/01/22 06:23:00","7.4","52","17.7","42","2026/01/22 02:29:00","6.0","14.4","0.5","2026/01/22 01:14:00","1.5","2026/01/22 14:30:00","0.0","0.0","1.90","26.0","/","1","2026/01/22 12:00:00","10.0","13.4","13.9","14.8","15.1","16.6","17.4","19.1"
"23","1021.2","1023.8","1023.0","2026/01/23 07:44:00","1019.1","2026/01/23 14:15:00","14.9","18.0","2026/01/23 12:10:00","12.4","2026/01/23 00:01:00","12.5","86","70","2026/01/23 10:33:00","6.7","52","15.5","38","2026/01/23 14:44:00","T","1.4","T","2026/01/23 00:10:00","T","2026/01/23 00:10:00","3.8","35.1","12.81","48.6","0.2","6","2026/01/23 13:00:00","8.3","14.8","14.8","15.5","15.5","16.4","17.0","18.9"
"24","1019.8","1022.4","1022.3","2026/01/24 09:24:00","1017.6","2026/01/24 23:21:00","16.1","18.4","2026/01/24 12:41:00","14.7","2026/01/24 06:48:00","14.4","90","82","2026/01/24 12:43:00","6.6","44","16.3","51","2026/01/24 15:40:00","2.5","3.6","0.5","2026/01/24 04:14:00","2.0","2026/01/24 04:14:00","0.7","6.5","8.34","41.3","1.1","4","2026/01/24 13:00:00","8.8","15.9","15.9","16.4","16.5","16.9","17.1","18.7"
"25","1018.0","1020.6","1020.3","2026/01/25 08:06:00","1014.9","2026/01/25 14:41:00","18.4","24.8","2026/01/25 14:52:00","14.8","2026/01/25 06:03:00","15.9","86","58","2026/01/25 14:53:00","2.5","35","12.4","42","2026/01/25 12:10:00","0.0","0.0","0.0","--","0.0","--","6.0","55.3","14.90","32.4","-1.7","6","2026/01/25 12:00:00","8.3","17.1","16.9","17.3","17.2","17.3","17.4","18.6"
"26","1017.6","1020.2","1019.6","2026/01/26 09:56:00","1015.8","2026/01/26 15:23:00","17.7","19.6","2026/01/26 14:40:00","16.8","2026/01/26 02:02:00","16.6","93","85","2026/01/26 13:06:00","1.9","29","10.0","314","2026/01/26 19:28:00","T","0.4","T","2026/01/26 07:07:00","T","2026/01/26 07:07:00","0.7","6.4","7.22","8.6","-1.3","4","2026/01/26 13:00:00","9.9","17.8","17.6","18.1","18.0","18.0","17.8","18.5"
"27","1018.8","1021.4","1020.6","2026/01/27 21:15:00","1017.0","2026/01/27 02:28:00","15.9","17.3","2026/01/27 00:19:00","14.4","2026/01/27 23:39:00","14.4","91","81","2026/01/27 10:54:00","7.1","45","16.9","36","2026/01/27 14:52:00","5.5","6.8","1.5","2026/01/27 18:07:00","4.0","2026/01/27 17:59:00","0.0","0.0","2.24","16.8","1.5","1","2026/01/27 12:00:00","10.0","16.8","17.2","17.8","17.8","18.2","18.1","18.7"
"28","1020.4","1023.0","1022.2","2026/01/28 08:21:00","1019.5","2026/01/28 13:08:00","14.7","16.0","2026/01/28 21:12:00","13.8","2026/01/28 03:47:00","11.8","83","77","2026/01/28 21:31:00","7.9","42","17.0","45","2026/01/28 14:28:00","T","1.1","T","2026/01/28 00:02:00","T","2026/01/28 00:02:00","0.0","0.0","3.10","37.9","1.4","1","2026/01/28 11:00:00","8.7","15.5","15.9","16.6","16.7","17.7","18.0","18.7"
"29","1018.7","1021.3","1020.8","2026/01/29 09:09:00","1017.2","2026/01/29 14:42:00","17.8","20.8","2026/01/29 10:48:00","14.7","2026/01/29 00:13:00","12.9","73","60","2026/01/29 10:32:00","6.8","52","16.8","39","2026/01/29 12:25:00","0.0","0.0","0.0","--","0.0","--","9.7","88.8","17.78","44.4","-2.5","6","2026/01/29 13:00:00","4.6","16.3","16.3","16.8","16.8","17.4","17.7","18.7"
"30","1018.6","1021.2","1020.5","2026/01/30 09:35:00","1016.9","2026/01/30 14:14:00","18.1","22.3","2026/01/30 11:54:00","16.4","2026/01/30 06:16:00","15.9","88","68","2026/01/30 12:12:00","2.9","29","9.5","31","2026/01/30 16:37:00","T","0.1","T","2026/01/30 18:08:00","T","2026/01/30 18:08:00","2.6","23.8","11.93","29.0","-1.3","7","2026/01/30 13:00:00","9.7","17.5","17.4","17.8","17.7","17.8","17.8","18.7"
"31","1020.4","1023.0","1022.6","2026/01/31 20:53:00","1018.2","2026/01/31 02:18:00","15.3","17.0","2026/01/31 03:55:00","13.2","2026/01/31 21:25:00","14.1","93","85","2026/01/31 13:18:00","6.9","43","16.4","44","2026/01/31 23:14:00","6.0","11.5","0.5","2026/01/31 09:06:00","1.5","2026/01/31 17:16:00","0.0","0.0","3.52","16.4","-1.0","2","2026/01/31 13:00:00","10.0","16.7","17.0","17.7","17.7","18.2","18.1","18.7"
